team,domain,side,label,index_value,rank_of_league,n_metrics_used,n_metrics_defined,min_confidence,index_prev_week,rank_prev_week,index_preseason,delta_vs_prev_week,delta_vs_preseason,rank_change_vs_prev_week,season,through_week
MIA,defense_overall,defense,Defensive Strength Index,-0.7212111439918143,27,3,3,prior_season_only,-0.7212111439918143,27,-0.7212111439918143,0.0,0.0,0,2026,0
NYJ,defense_overall,defense,Defensive Strength Index,-0.8629751984499916,28,3,3,prior_season_only,-0.8629751984499916,28,-0.8629751984499916,0.0,0.0,0,2026,0
CIN,defense_overall,defense,Defensive Strength Index,-0.8741936436850121,29,3,3,prior_season_only,-0.8741936436850121,29,-0.8741936436850121,0.0,0.0,0,2026,0
ARI,defense_overall,defense,Defensive Strength Index,-0.9010177666020417,30,3,3,prior_season_only,-0.9010177666020417,30,-0.9010177666020417,0.0,0.0,0,2026,0
DAL,defense_overall,defense,Defensive Strength Index,-0.9726263363160305,31,3,3,prior_season_only,-0.9726263363160305,31,-0.9726263363160305,0.0,0.0,0,2026,0
WAS,defense_overall,defense,Defensive Strength Index,-1.0454302841939833,32,3,3,prior_season_only,-1.0454302841939833,32,-1.0454302841939833,0.0,0.0,0,2026,0
LA,offense_overall,offense,Offensive Strength Index,1.5255093577954841,1,3,3,prior_season_only,1.5255093577954841,1,1.5255093577954841,0.0,0.0,0,2026,0
NE,offense_overall,offense,Offensive Strength Index,1.1065724667785901,2,3,3,prior_season_only,1.1065724667785901,2,1.1065724667785901,0.0,0.0,0,2026,0
BUF,offense_overall,offense,Offensive Strength Index,1.0963041503779152,3,3,3,prior_season_only,1.0963041503779152,3,1.0963041503779152,0.0,0.0,0,2026,0
GB,offense_overall,offense,Offensive Strength Index,0.8778987931866892,4,3,3,prior_season_only,0.8778987931866892,4,0.8778987931866892,0.0,0.0,0,2026,0
DAL,offense_overall,offense,Offensive Strength Index,0.8346190609262841,5,3,3,prior_season_only,0.8346190609262841,5,0.8346190609262841,0.0,0.0,0,2026,0
SF,offense_overall,offense,Offensive Strength Index,0.6916590508371873,6,3,3,prior_season_only,0.6916590508371873,6,0.6916590508371873,0.0,0.0,0,2026,0
IND,offense_overall,offense,Offensive Strength Index,0.6133380903684149,7,3,3,prior_season_only,0.6133380903684149,7,0.6133380903684149,0.0,0.0,0,2026,0
CHI,offense_overall,offense,Offensive Strength Index,0.5752415388130881,8,3,3,prior_season_only,0.5752415388130881,8,0.5752415388130881,0.0,0.0,0,2026,0
DET,offense_overall,offense,Offensive Strength Index,0.531518570030412,9,3,3,prior_season_only,0.531518570030412,9,0.531518570030412,0.0,0.0,0,2026,0
SEA,offense_overall,offense,Offensive Strength Index,0.4643855814628533,10,3,3,prior_season_only,0.4643855814628533,10,0.4643855814628533,0.0,0.0,0,2026,0
WAS,offense_overall,offense,Offensive Strength Index,0.42612873725537986,11,3,3,prior_season_only,0.42612873725537986,11,0.42612873725537986,0.0,0.0,0,2026,0
BAL,offense_overall,offense,Offensive Strength Index,0.26425720380527673,12,3,3,prior_season_only,0.26425720380527673,12,0.26425720380527673,0.0,0.0,0,2026,0
KC,offense_overall,offense,Offensive Strength Index,0.2577677715058179,13,3,3,prior_season_only,0.2577677715058179,13,0.2577677715058179,0.0,0.0,0,2026,0
ATL,offense_overall,offense,Offensive Strength Index,0.25425948499032497,14,3,3,prior_season_only,0.25425948499032497,14,0.25425948499032497,0.0,0.0,0,2026,0
JAX,offense_overall,offense,Offensive Strength Index,0.24002721204110852,15,3,3,prior_season_only,0.24002721204110852,15,0.24002721204110852,0.0,0.0,0,2026,0
DEN,offense_overall,offense,Offensive Strength Index,0.16291157316740784,16,3,3,prior_season_only,0.16291157316740784,16,0.16291157316740784,0.0,0.0,0,2026,0
CIN,offense_overall,offense,Offensive Strength Index,0.14662832421354635,17,3,3,prior_season_only,0.14662832421354635,17,0.14662832421354635,0.0,0.0,0,2026,0
PIT,offense_overall,offense,Offensive Strength Index,0.12043354851060602,18,3,3,prior_season_only,0.12043354851060602,18,0.12043354851060602,0.0,0.0,0,2026,0
PHI,offense_overall,offense,Offensive Strength Index,0.05909304921771749,19,3,3,prior_season_only,0.05909304921771749,19,0.05909304921771749,0.0,0.0,0,2026,0
TB,offense_overall,offense,Offensive Strength Index,0.04002298508662587,20,3,3,prior_season_only,0.04002298508662587,20,0.04002298508662587,0.0,0.0,0,2026,0
NYG,offense_overall,offense,Offensive Strength Index,0.03372968947743268,21,3,3,prior_season_only,0.03372968947743268,21,0.03372968947743268,0.0,0.0,0,2026,0
MIA,offense_overall,offense,Offensive Strength Index,-0.10507331797709984,22,3,3,prior_season_only,-0.10507331797709984,22,-0.10507331797709984,0.0,0.0,0,2026,0
ARI,offense_overall,offense,Offensive Strength Index,-0.10707443596759277,23,3,3,prior_season_only,-0.10707443596759277,23,-0.10707443596759277,0.0,0.0,0,2026,0
LAC,offense_overall,offense,Offensive Strength Index,-0.16527064922613202,24,3,3,prior_season_only,-0.16527064922613202,24,-0.16527064922613202,0.0,0.0,0,2026,0
CAR,offense_overall,offense,Offensive Strength Index,-0.17975452441390818,25,3,3,prior_season_only,-0.17975452441390818,25,-0.17975452441390818,0.0,0.0,0,2026,0
HOU,offense_overall,offense,Offensive Strength Index,-0.19729505357236066,26,3,3,prior_season_only,-0.19729505357236066,26,-0.19729505357236066,0.0,0.0,0,2026,0
NO,offense_overall,offense,Offensive Strength Index,-0.3891257057713213,27,3,3,prior_season_only,-0.3891257057713213,27,-0.3891257057713213,0.0,0.0,0,2026,0
MIN,offense_overall,offense,Offensive Strength Index,-0.3937886852336514,28,3,3,prior_season_only,-0.3937886852336514,28,-0.3937886852336514,0.0,0.0,0,2026,0
NYJ,offense_overall,offense,Offensive Strength Index,-0.8057536340363202,29,3,3,prior_season_only,-0.8057536340363202,29,-0.8057536340363202,0.0,0.0,0,2026,0
TEN,offense_overall,offense,Offensive Strength Index,-1.121807788377785,30,3,3,prior_season_only,-1.121807788377785,30,-1.121807788377785,0.0,0.0,0,2026,0
LV,offense_overall,offense,Offensive Strength Index,-1.3375676956063707,31,3,3,prior_season_only,-1.3375676956063707,31,-1.3375676956063707,0.0,0.0,0,2026,0
CLE,offense_overall,offense,Offensive Strength Index,-1.570673549055355,32,3,3,prior_season_only,-1.570673549055355,32,-1.570673549055355,0.0,0.0,0,2026,0
DEN,pass_protection,offense,Pass-Protection Strength Index,1.0042755018627794,1,2,2,prior_season_only,1.0042755018627794,1,1.0042755018627794,0.0,0.0,0,2026,0
CHI,pass_protection,offense,Pass-Protection Strength Index,0.9421333097547206,2,2,2,prior_season_only,0.9421333097547206,2,0.9421333097547206,0.0,0.0,0,2026,0
LA,pass_protection,offense,Pass-Protection Strength Index,0.7593267439398104,3,2,2,prior_season_only,0.7593267439398104,3,0.7593267439398104,0.0,0.0,0,2026,0
TB,pass_protection,offense,Pass-Protection Strength Index,0.7184955484811602,4,2,2,prior_season_only,0.7184955484811602,4,0.7184955484811602,0.0,0.0,0,2026,0
PIT,pass_protection,offense,Pass-Protection Strength Index,0.6515641052982448,5,2,2,prior_season_only,0.6515641052982448,5,0.6515641052982448,0.0,0.0,0,2026,0
ATL,pass_protection,offense,Pass-Protection Strength Index,0.6003646163995111,6,2,2,prior_season_only,0.6003646163995111,6,0.6003646163995111,0.0,0.0,0,2026,0
HOU,pass_protection,offense,Pass-Protection Strength Index,0.5755360370500839,7,2,2,prior_season_only,0.5755360370500839,7,0.5755360370500839,0.0,0.0,0,2026,0
PHI,pass_protection,offense,Pass-Protection Strength Index,0.569367609573108,8,2,2,prior_season_only,0.569367609573108,8,0.569367609573108,0.0,0.0,0,2026,0
SEA,pass_protection,offense,Pass-Protection Strength Index,0.5616178261937117,9,2,2,prior_season_only,0.5616178261937117,9,0.5616178261937117,0.0,0.0,0,2026,0
SF,pass_protection,offense,Pass-Protection Strength Index,0.5600202197693863,10,2,2,prior_season_only,0.5600202197693863,10,0.5600202197693863,0.0,0.0,0,2026,0
DAL,pass_protection,offense,Pass-Protection Strength Index,0.4199257302579034,11,2,2,prior_season_only,0.4199257302579034,11,0.4199257302579034,0.0,0.0,0,2026,0
IND,pass_protection,offense,Pass-Protection Strength Index,0.40989335480262284,12,2,2,prior_season_only,0.40989335480262284,12,0.40989335480262284,0.0,0.0,0,2026,0
CIN,pass_protection,offense,Pass-Protection Strength Index,0.24765998304128495,13,2,2,prior_season_only,0.24765998304128495,13,0.24765998304128495,0.0,0.0,0,2026,0
GB,pass_protection,offense,Pass-Protection Strength Index,0.23297747908022168,14,2,2,prior_season_only,0.23297747908022168,14,0.23297747908022168,0.0,0.0,0,2026,0
BUF,pass_protection,offense,Pass-Protection Strength Index,0.22336879260649894,15,2,2,prior_season_only,0.22336879260649894,15,0.22336879260649894,0.0,0.0,0,2026,0
JAX,pass_protection,offense,Pass-Protection Strength Index,0.21706725145064168,16,2,2,prior_season_only,0.21706725145064168,16,0.21706725145064168,0.0,0.0,0,2026,0
MIA,pass_protection,offense,Pass-Protection Strength Index,0.13647754757640632,17,2,2,prior_season_only,0.13647754757640632,17,0.13647754757640632,0.0,0.0,0,2026,0
NO,pass_protection,offense,Pass-Protection Strength Index,0.11311083954820024,18,2,2,prior_season_only,0.11311083954820024,18,0.11311083954820024,0.0,0.0,0,2026,0
WAS,pass_protection,offense,Pass-Protection Strength Index,0.10256348005070241,19,2,2,prior_season_only,0.10256348005070241,19,0.10256348005070241,0.0,0.0,0,2026,0
CAR,pass_protection,offense,Pass-Protection Strength Index,0.08469675558373438,20,2,2,prior_season_only,0.08469675558373438,20,0.08469675558373438,0.0,0.0,0,2026,0
NE,pass_protection,offense,Pass-Protection Strength Index,-0.2173725031107569,21,2,2,prior_season_only,-0.2173725031107569,21,-0.2173725031107569,0.0,0.0,0,2026,0
KC,pass_protection,offense,Pass-Protection Strength Index,-0.37944680036340955,22,2,2,prior_season_only,-0.37944680036340955,22,-0.37944680036340955,0.0,0.0,0,2026,0
DET,pass_protection,offense,Pass-Protection Strength Index,-0.4042417594033201,23,2,2,prior_season_only,-0.4042417594033201,23,-0.4042417594033201,0.0,0.0,0,2026,0
ARI,pass_protection,offense,Pass-Protection Strength Index,-0.5241033621429031,24,2,2,prior_season_only,-0.5241033621429031,24,-0.5241033621429031,0.0,0.0,0,2026,0
NYG,pass_protection,offense,Pass-Protection Strength Index,-0.5487837605335395,25,2,2,prior_season_only,-0.5487837605335395,25,-0.5487837605335395,0.0,0.0,0,2026,0
TEN,pass_protection,offense,Pass-Protection Strength Index,-0.6298645360007394,26,2,2,prior_season_only,-0.6298645360007394,26,-0.6298645360007394,0.0,0.0,0,2026,0
BAL,pass_protection,offense,Pass-Protection Strength Index,-0.638681832902647,27,2,2,prior_season_only,-0.638681832902647,27,-0.638681832902647,0.0,0.0,0,2026,0
CLE,pass_protection,offense,Pass-Protection Strength Index,-0.9150496864837668,28,2,2,prior_season_only,-0.9150496864837668,28,-0.9150496864837668,0.0,0.0,0,2026,0
LAC,pass_protection,offense,Pass-Protection Strength Index,-0.9765779829298193,29,2,2,prior_season_only,-0.9765779829298193,29,-0.9765779829298193,0.0,0.0,0,2026,0
NYJ,pass_protection,offense,Pass-Protection Strength Index,-1.0601723111128496,30,2,2,prior_season_only,-1.0601723111128496,30,-1.0601723111128496,0.0,0.0,0,2026,0
LV,pass_protection,offense,Pass-Protection Strength Index,-1.192163146181185,31,2,2,prior_season_only,-1.192163146181185,31,-1.192163146181185,0.0,0.0,0,2026,0
MIN,pass_protection,offense,Pass-Protection Strength Index,-1.4135814154931445,32,2,2,prior_season_only,-1.4135814154931445,32,-1.4135814154931445,0.0,0.0,0,2026,0
DEN,pass_rush,defense,Pass-Rush Strength Index,1.5094139526740404,1,2,2,prior_season_only,1.5094139526740404,1,1.5094139526740404,0.0,0.0,0,2026,0
CLE,pass_rush,defense,Pass-Rush Strength Index,1.0732845922577123,2,2,2,prior_season_only,1.0732845922577123,2,1.0732845922577123,0.0,0.0,0,2026,0
MIN,pass_rush,defense,Pass-Rush Strength Index,1.0256014202509898,3,2,2,prior_season_only,1.0256014202509898,3,1.0256014202509898,0.0,0.0,0,2026,0
ATL,pass_rush,defense,Pass-Rush Strength Index,0.5703578740837131,4,2,2,prior_season_only,0.5703578740837131,4,0.5703578740837131,0.0,0.0,0,2026,0
LA,pass_rush,defense,Pass-Rush Strength Index,0.459216269419205,5,2,2,prior_season_only,0.459216269419205,5,0.459216269419205,0.0,0.0,0,2026,0
DET,pass_rush,defense,Pass-Rush Strength Index,0.38208597700393604,6,2,2,prior_season_only,0.38208597700393604,6,0.38208597700393604,0.0,0.0,0,2026,0
LAC,pass_rush,defense,Pass-Rush Strength Index,0.31046794477433276,7,2,2,prior_season_only,0.31046794477433276,7,0.31046794477433276,0.0,0.0,0,2026,0
NO,pass_rush,defense,Pass-Rush Strength Index,0.26151625465161166,8,2,2,prior_season_only,0.26151625465161166,8,0.26151625465161166,0.0,0.0,0,2026,0
PIT,pass_rush,defense,Pass-Rush Strength Index,0.2498319559299544,9,2,2,prior_season_only,0.2498319559299544,9,0.2498319559299544,0.0,0.0,0,2026,0
BUF,pass_rush,defense,Pass-Rush Strength Index,0.24182960449556204,10,2,2,prior_season_only,0.24182960449556204,10,0.24182960449556204,0.0,0.0,0,2026,0
PHI,pass_rush,defense,Pass-Rush Strength Index,0.23033412936674524,11,2,2,prior_season_only,0.23033412936674524,11,0.23033412936674524,0.0,0.0,0,2026,0
HOU,pass_rush,defense,Pass-Rush Strength Index,0.2258580354044433,12,2,2,prior_season_only,0.2258580354044433,12,0.2258580354044433,0.0,0.0,0,2026,0
SEA,pass_rush,defense,Pass-Rush Strength Index,0.21968012393716338,13,2,2,prior_season_only,0.21968012393716338,13,0.21968012393716338,0.0,0.0,0,2026,0
TEN,pass_rush,defense,Pass-Rush Strength Index,0.2127694033897353,14,2,2,prior_season_only,0.2127694033897353,14,0.2127694033897353,0.0,0.0,0,2026,0
KC,pass_rush,defense,Pass-Rush Strength Index,0.13202959982500664,15,2,2,prior_season_only,0.13202959982500664,15,0.13202959982500664,0.0,0.0,0,2026,0
GB,pass_rush,defense,Pass-Rush Strength Index,0.039498028779202665,16,2,2,prior_season_only,0.039498028779202665,16,0.039498028779202665,0.0,0.0,0,2026,0
WAS,pass_rush,defense,Pass-Rush Strength Index,0.03408480115954447,17,2,2,prior_season_only,0.03408480115954447,17,0.03408480115954447,0.0,0.0,0,2026,0
DAL,pass_rush,defense,Pass-Rush Strength Index,0.003963901183624274,18,2,2,prior_season_only,0.003963901183624274,18,0.003963901183624274,0.0,0.0,0,2026,0
NYG,pass_rush,defense,Pass-Rush Strength Index,-0.012357217353777601,19,2,2,prior_season_only,-0.012357217353777601,19,-0.012357217353777601,0.0,0.0,0,2026,0
NE,pass_rush,defense,Pass-Rush Strength Index,-0.13049252556022697,20,2,2,prior_season_only,-0.13049252556022697,20,-0.13049252556022697,0.0,0.0,0,2026,0
LV,pass_rush,defense,Pass-Rush Strength Index,-0.15165789819786246,21,2,2,prior_season_only,-0.15165789819786246,21,-0.15165789819786246,0.0,0.0,0,2026,0
MIA,pass_rush,defense,Pass-Rush Strength Index,-0.19137475127097828,22,2,2,prior_season_only,-0.19137475127097828,22,-0.19137475127097828,0.0,0.0,0,2026,0
CHI,pass_rush,defense,Pass-Rush Strength Index,-0.2570372082384315,23,2,2,prior_season_only,-0.2570372082384315,23,-0.2570372082384315,0.0,0.0,0,2026,0
TB,pass_rush,defense,Pass-Rush Strength Index,-0.29518772181575803,24,2,2,prior_season_only,-0.29518772181575803,24,-0.29518772181575803,0.0,0.0,0,2026,0
IND,pass_rush,defense,Pass-Rush Strength Index,-0.3240758271934717,25,2,2,prior_season_only,-0.3240758271934717,25,-0.3240758271934717,0.0,0.0,0,2026,0
CIN,pass_rush,defense,Pass-Rush Strength Index,-0.36329574427349176,26,2,2,prior_season_only,-0.36329574427349176,26,-0.36329574427349176,0.0,0.0,0,2026,0
BAL,pass_rush,defense,Pass-Rush Strength Index,-0.5762560120412509,27,2,2,prior_season_only,-0.5762560120412509,27,-0.5762560120412509,0.0,0.0,0,2026,0
JAX,pass_rush,defense,Pass-Rush Strength Index,-0.6221154698780045,28,2,2,prior_season_only,-0.6221154698780045,28,-0.6221154698780045,0.0,0.0,0,2026,0
ARI,pass_rush,defense,Pass-Rush Strength Index,-0.763704143116771,29,2,2,prior_season_only,-0.763704143116771,29,-0.763704143116771,0.0,0.0,0,2026,0
CAR,pass_rush,defense,Pass-Rush Strength Index,-0.84102512034589,30,2,2,prior_season_only,-0.84102512034589,30,-0.84102512034589,0.0,0.0,0,2026,0
NYJ,pass_rush,defense,Pass-Rush Strength Index,-0.9579267586564415,31,2,2,prior_season_only,-0.9579267586564415,31,-0.9579267586564415,0.0,0.0,0,2026,0
SF,pass_rush,defense,Pass-Rush Strength Index,-1.3713963416078876,32,2,2,prior_season_only,-1.3713963416078876,32,-1.3713963416078876,0.0,0.0,0,2026,0
HOU,passing_defense,defense,Pass-Defense Strength Index,0.9770365198924419,1,2,2,prior_season_only,0.9770365198924419,1,0.9770365198924419,0.0,0.0,0,2026,0
DEN,passing_defense,defense,Pass-Defense Strength Index,0.976582320547229,2,2,2,prior_season_only,0.976582320547229,2,0.976582320547229,0.0,0.0,0,2026,0
MIN,passing_defense,defense,Pass-Defense Strength Index,0.8757765441957059,3,2,2,prior_season_only,0.8757765441957059,3,0.8757765441957059,0.0,0.0,0,2026,0
SEA,passing_defense,defense,Pass-Defense Strength Index,0.6323111254775536,4,2,2,prior_season_only,0.6323111254775536,4,0.6323111254775536,0.0,0.0,0,2026,0
CLE,passing_defense,defense,Pass-Defense Strength Index,0.6234817447182954,5,2,2,prior_season_only,0.6234817447182954,5,0.6234817447182954,0.0,0.0,0,2026,0
PHI,passing_defense,defense,Pass-Defense Strength Index,0.5930038533669532,6,2,2,prior_season_only,0.5930038533669532,6,0.5930038533669532,0.0,0.0,0,2026,0
JAX,passing_defense,defense,Pass-Defense Strength Index,0.5762233080026125,7,2,2,prior_season_only,0.5762233080026125,7,0.5762233080026125,0.0,0.0,0,2026,0
BUF,passing_defense,defense,Pass-Defense Strength Index,0.5606532884387811,8,2,2,prior_season_only,0.5606532884387811,8,0.5606532884387811,0.0,0.0,0,2026,0
LAC,passing_defense,defense,Pass-Defense Strength Index,0.5012198260793668,9,2,2,prior_season_only,0.5012198260793668,9,0.5012198260793668,0.0,0.0,0,2026,0
LA,passing_defense,defense,Pass-Defense Strength Index,0.35444068531175676,10,2,2,prior_season_only,0.35444068531175676,10,0.35444068531175676,0.0,0.0,0,2026,0
DET,passing_defense,defense,Pass-Defense Strength Index,0.33186529709374596,11,2,2,prior_season_only,0.33186529709374596,11,0.33186529709374596,0.0,0.0,0,2026,0
NO,passing_defense,defense,Pass-Defense Strength Index,0.3009607299856476,12,2,2,prior_season_only,0.3009607299856476,12,0.3009607299856476,0.0,0.0,0,2026,0
NE,passing_defense,defense,Pass-Defense Strength Index,0.2179172499880653,13,2,2,prior_season_only,0.2179172499880653,13,0.2179172499880653,0.0,0.0,0,2026,0
ATL,passing_defense,defense,Pass-Defense Strength Index,0.09927476179156117,14,2,2,prior_season_only,0.09927476179156117,14,0.09927476179156117,0.0,0.0,0,2026,0
PIT,passing_defense,defense,Pass-Defense Strength Index,-0.02958205484777604,15,2,2,prior_season_only,-0.02958205484777604,15,-0.02958205484777604,0.0,0.0,0,2026,0
KC,passing_defense,defense,Pass-Defense Strength Index,-0.043884868241484486,16,2,2,prior_season_only,-0.043884868241484486,16,-0.043884868241484486,0.0,0.0,0,2026,0
GB,passing_defense,defense,Pass-Defense Strength Index,-0.08283862836707467,17,2,2,prior_season_only,-0.08283862836707467,17,-0.08283862836707467,0.0,0.0,0,2026,0
NYG,passing_defense,defense,Pass-Defense Strength Index,-0.10854185792206689,18,2,2,prior_season_only,-0.10854185792206689,18,-0.10854185792206689,0.0,0.0,0,2026,0
BAL,passing_defense,defense,Pass-Defense Strength Index,-0.20942341720467766,19,2,2,prior_season_only,-0.20942341720467766,19,-0.20942341720467766,0.0,0.0,0,2026,0
IND,passing_defense,defense,Pass-Defense Strength Index,-0.21229390133747134,20,2,2,prior_season_only,-0.21229390133747134,20,-0.21229390133747134,0.0,0.0,0,2026,0
CHI,passing_defense,defense,Pass-Defense Strength Index,-0.27660231672665314,21,2,2,prior_season_only,-0.27660231672665314,21,-0.27660231672665314,0.0,0.0,0,2026,0
CAR,passing_defense,defense,Pass-Defense Strength Index,-0.40424563939651964,22,2,2,prior_season_only,-0.40424563939651964,22,-0.40424563939651964,0.0,0.0,0,2026,0
LV,passing_defense,defense,Pass-Defense Strength Index,-0.41157206653895295,23,2,2,prior_season_only,-0.41157206653895295,23,-0.41157206653895295,0.0,0.0,0,2026,0
TB,passing_defense,defense,Pass-Defense Strength Index,-0.4833015281611778,24,2,2,prior_season_only,-0.4833015281611778,24,-0.4833015281611778,0.0,0.0,0,2026,0
SF,passing_defense,defense,Pass-Defense Strength Index,-0.6119555773934184,25,2,2,prior_season_only,-0.6119555773934184,25,-0.6119555773934184,0.0,0.0,0,2026,0
TEN,passing_defense,defense,Pass-Defense Strength Index,-0.6989576922178223,26,2,2,prior_season_only,-0.6989576922178223,26,-0.6989576922178223,0.0,0.0,0,2026,0
CIN,passing_defense,defense,Pass-Defense Strength Index,-0.7667003534934781,27,2,2,prior_season_only,-0.7667003534934781,27,-0.7667003534934781,0.0,0.0,0,2026,0
WAS,passing_defense,defense,Pass-Defense Strength Index,-0.8697900372242602,28,2,2,prior_season_only,-0.8697900372242602,28,-0.8697900372242602,0.0,0.0,0,2026,0
ARI,passing_defense,defense,Pass-Defense Strength Index,-0.879257299391772,29,2,2,prior_season_only,-0.879257299391772,29,-0.879257299391772,0.0,0.0,0,2026,0
MIA,passing_defense,defense,Pass-Defense Strength Index,-0.9406933699247098,30,2,2,prior_season_only,-0.9406933699247098,30,-0.9406933699247098,0.0,0.0,0,2026,0
NYJ,passing_defense,defense,Pass-Defense Strength Index,-0.9505946741032061,31,2,2,prior_season_only,-0.9505946741032061,31,-0.9505946741032061,0.0,0.0,0,2026,0
DAL,passing_defense,defense,Pass-Defense Strength Index,-0.9992123096526375,32,2,2,prior_season_only,-0.9992123096526375,32,-0.9992123096526375,0.0,0.0,0,2026,0
NE,passing_offense,offense,Passing-Offense Strength Index,1.315894530734415,1,3,3,prior_season_only,1.315894530734415,1,1.315894530734415,0.0,0.0,0,2026,0
LA,passing_offense,offense,Passing-Offense Strength Index,1.094828461500453,2,3,3,prior_season_only,1.094828461500453,2,1.094828461500453,0.0,0.0,0,2026,0
GB,passing_offense,offense,Passing-Offense Strength Index,0.9291749264796159,3,3,3,prior_season_only,0.9291749264796159,3,0.9291749264796159,0.0,0.0,0,2026,0
SEA,passing_offense,offense,Passing-Offense Strength Index,0.8232605081527553,4,3,3,prior_season_only,0.8232605081527553,4,0.8232605081527553,0.0,0.0,0,2026,0
BUF,passing_offense,offense,Passing-Offense Strength Index,0.7899822323914681,5,3,3,prior_season_only,0.7899822323914681,5,0.7899822323914681,0.0,0.0,0,2026,0
DET,passing_offense,offense,Passing-Offense Strength Index,0.6736409004423992,6,3,3,prior_season_only,0.6736409004423992,6,0.6736409004423992,0.0,0.0,0,2026,0
