games,wins,ties,losses,points_for,points_against,point_diff,points_for_pg,points_against_pg,win_pct,team,index_value_offense_overall,index_value_passing_offense,index_value_rushing_offense,index_value_pass_protection,index_value_defense_overall,index_value_passing_defense,index_value_rushing_defense,index_value_pass_rush,index_value_special_teams,rank_of_league_offense_overall,rank_of_league_passing_offense,rank_of_league_rushing_offense,rank_of_league_pass_protection,rank_of_league_defense_overall,rank_of_league_passing_defense,rank_of_league_rushing_defense,rank_of_league_pass_rush,rank_of_league_special_teams,top_strength_domain,top_strength_index,top_weakness_domain,top_weakness_index,overall_confidence,season,through_week
1,1,0,0,34,10,24,34.0,10.0,1.0,JAX,0.5885176432718102,0.5436980163854318,0.12745964879678487,0.1071306620334434,0.09012812697336008,0.06910338463881711,0.048552649909958834,0.4322449291346096,0.13359871123946115,1,1,6,9,11,9,13,1,11,offense_overall,0.5885176432718102,rushing_defense,0.048552649909958834,low,2026,1
1,1,0,0,31,10,21,31.0,10.0,1.0,KC,-0.06700178064574232,-0.04690958644513854,0.1382280197760246,0.006088258241681252,0.21739110383557625,0.2033081130998818,0.1642713493764528,0.16180557574428597,0.13579489051159907,18,19,5,16,2,4,5,5,9,defense_overall,0.21739110383557625,offense_overall,-0.06700178064574232,low,2026,1
1,0,0,1,7,27,-20,7.0,27.0,0.0,LA,-0.1462280371558752,-0.18683464814231013,0.04561220549338168,-0.025757123716901614,-0.21783126578235654,-0.17224139465146282,-0.1948064389661394,-0.2940479897357226,-0.034654927866304565,23,28,14,20,29,26,31,31,22,rushing_offense,0.04561220549338168,pass_rush,-0.2940479897357226,low,2026,1
1,0,0,1,14,26,-12,14.0,26.0,0.0,LAC,-0.16188665047315,-0.13502506480300006,-0.1345414419720061,-0.004973563460267907,-0.11730583165855864,-0.17982330180421116,0.022024204784126405,-0.1318249979768862,-0.28588639240459934,24,27,24,19,23,28,14,27,32,rushing_defense,0.022024204784126405,special_teams,-0.28588639240459934,low,2026,1
1,1,0,0,27,13,14,27.0,13.0,1.0,LV,-0.12037870626155595,-0.0880898996060895,0.022982135983089538,0.33307522692571817,0.15525091460989116,0.14411459079886516,0.2622214209442402,0.31559561787727364,0.2472528393277814,19,23,17,3,4,6,2,2,2,pass_protection,0.33307522692571817,offense_overall,-0.12037870626155595,low,2026,1
1,0,0,1,13,27,-14,13.0,27.0,0.0,MIA,-0.2950866264932397,-0.07233392185909907,-0.324223820906832,-0.3701130115054557,0.07955514986127672,0.04040219852753496,-0.031149989055311442,-0.2827866126745664,-0.09327159082172541,29,21,32,31,13,14,19,30,26,defense_overall,0.07955514986127672,pass_protection,-0.3701130115054557,low,2026,1
1,1,0,0,39,22,17,39.0,22.0,1.0,MIN,-0.22546266449522065,-0.1233488165421505,-0.09596492097317977,-0.13616619780777045,0.06355407750385578,0.06668270048106635,0.1821532815897208,0.2864563030895382,0.08925225394545379,27,25,23,24,14,10,3,4,15,pass_rush,0.2864563030895382,offense_overall,-0.22546266449522065,low,2026,1
1,0,0,1,10,13,-3,10.0,13.0,0.0,NE,-0.17217688222676616,-0.014428897694222417,-0.3222371437313021,0.02919943683378559,0.009295125487597242,-0.0844240768999606,0.11420653650741443,0.12029134596156159,0.026784052403928338,25,17,31,15,16,22,9,9,17,pass_rush,0.12029134596156159,rushing_offense,-0.3222371437313021,low,2026,1
1,0,0,1,30,31,-1,30.0,31.0,0.0,NO,0.020374918278993324,0.024143948784444137,-0.09371267793848101,-0.042400699028386536,-0.0015017789812711083,0.043225479156389114,-0.14959481027860663,-0.05118543746470859,-0.13373679265141283,15,13,22,21,17,12,30,20,29,passing_defense,0.043225479156389114,rushing_defense,-0.14959481027860663,low,2026,1
1,1,0,0,28,20,8,28.0,20.0,1.0,NYG,0.5578504304272619,0.31302262875505504,0.138715188490677,0.006088258241681252,-0.13175797043281592,-0.10331539917771454,0.09750150686243526,-0.2591377208461368,0.003823252111909214,2,3,4,16,26,23,11,29,18,offense_overall,0.5578504304272619,pass_rush,-0.2591377208461368,low,2026,1
1,1,0,0,23,10,13,23.0,10.0,1.0,NYJ,0.22934539012836938,0.21698348863327757,0.08846485021735595,0.3773118466709318,0.08785040242709992,0.04251560789875791,-0.08721475430953927,0.010013425195261324,0.14605341332838714,7,6,10,1,12,13,23,14,8,pass_protection,0.3773118466709318,rushing_defense,-0.08721475430953927,low,2026,1
1,1,0,0,24,22,2,24.0,22.0,1.0,PHI,-0.275307791385915,0.00013022740642025984,-0.1705513879500138,-0.08354985951272945,-0.003345319048805155,0.01332256423270356,-0.028635558811093784,-0.22493724825418226,0.003437083216418189,28,16,27,22,18,17,18,28,19,passing_defense,0.01332256423270356,offense_overall,-0.275307791385915,low,2026,1
1,1,0,0,20,13,7,20.0,13.0,1.0,PIT,-0.36217659669253427,-0.20493427139706832,-0.18937414123000562,0.06812102698643896,0.2412910830516164,0.3331300977877685,-0.002693641782642297,0.3033332189294508,-0.002287412758717135,30,29,28,12,1,1,16,3,20,passing_defense,0.3331300977877685,offense_overall,-0.36217659669253427,low,2026,1
1,1,0,0,13,10,3,13.0,10.0,1.0,SEA,-0.04870939627241345,0.11741173155232691,-0.15897119295974196,-0.15380045239207152,0.10353591255959083,-0.07350813953463234,0.2949264768636397,-0.01669242856974975,0.03716241760796963,17,9,26,25,8,21,1,17,16,rushing_defense,0.2949264768636397,rushing_offense,-0.15897119295974196,low,2026,1
1,1,0,0,27,7,20,27.0,7.0,1.0,SF,0.43733565095649185,0.11016290778013675,0.2218457110578319,0.3482888792190454,0.10319976598057663,0.18841824472843477,0.009956024341169675,-0.017173443370041286,-0.0819481806721063,4,10,1,2,9,5,15,18,25,offense_overall,0.43733565095649185,special_teams,-0.0819481806721063,low,2026,1
1,0,0,1,27,33,-6,27.0,33.0,0.0,TB,0.11090616818889643,-0.07767999489584936,0.14774289776292024,-0.16903350765105432,-0.0537818054543254,-0.0325836238454962,-0.09892901731473806,-0.08531535637955898,0.21398055908149807,13,22,3,26,21,19,25,23,4,special_teams,0.21398055908149807,pass_protection,-0.16903350765105432,low,2026,1
1,0,0,1,10,23,-13,10.0,23.0,0.0,TEN,-0.12098912746294421,-0.12452744460804033,-0.0063878443359720125,-0.0026016467511287694,-0.12448660954942159,-0.13989715307017847,-0.03902767263896443,-0.31553123212931444,-0.2561602642609293,20,26,21,18,25,25,20,32,31,pass_protection,-0.0026016467511287694,pass_rush,-0.31553123212931444,low,2026,1
1,0,0,1,22,24,-2,22.0,24.0,0.0,WAS,0.005980064358766239,-0.070080946383083,0.09558739280055706,0.27540970560172184,0.13183061221647813,0.014594911704288172,0.1585886808863136,0.0779919620516534,-0.0323174289795885,16,20,9,5,6,16,6,11,21,pass_protection,0.27540970560172184,passing_offense,-0.070080946383083,low,2026,1
