name,family,taxonomy,source,direction,grain,earliest_valid_season,proposed_role,predictive_status
team_offense.rush_epa_per_play,team_offense,core_efficiency,pbp,higher_better,team,1999,candidate_signal,UNVALIDATED
team_offense.early_down_epa_per_play,team_offense,core_efficiency,pbp,higher_better,team,1999,candidate_signal,UNVALIDATED
team_offense.proe,team_offense,process_style,pbp,neutral,team,2006,descriptive,UNVALIDATED
team_offense.explosive_pass_rate,team_offense,outcome_noise,pbp,higher_better,team,1999,descriptive,UNVALIDATED
team_offense.explosive_rush_rate,team_offense,outcome_noise,pbp,higher_better,team,1999,descriptive,UNVALIDATED
team_offense.plays,team_offense,volume,pbp,neutral,team,1999,descriptive,UNVALIDATED
team_defense.epa_per_play,team_defense,core_efficiency,pbp,lower_better,team,1999,candidate_signal,UNVALIDATED
team_defense.success_rate,team_defense,core_efficiency,pbp,lower_better,team,1999,candidate_signal,UNVALIDATED
team_defense.pass_epa_per_dropback,team_defense,core_efficiency,pbp,lower_better,team,1999,candidate_signal,UNVALIDATED
team_defense.rush_epa_per_play,team_defense,core_efficiency,pbp,lower_better,team,1999,candidate_signal,UNVALIDATED
team_defense.early_down_epa_per_play,team_defense,core_efficiency,pbp,lower_better,team,1999,candidate_signal,UNVALIDATED
team_defense.explosive_pass_rate,team_defense,outcome_noise,pbp,lower_better,team,1999,descriptive,UNVALIDATED
team_defense.explosive_rush_rate,team_defense,outcome_noise,pbp,lower_better,team,1999,descriptive,UNVALIDATED
pass_protection.sack_rate_allowed,pass_protection,core_efficiency,pbp,lower_better,team,1999,candidate_signal,UNVALIDATED
pass_protection.qb_hit_rate_allowed,pass_protection,core_efficiency,pbp,lower_better,team,2006,candidate_signal,UNVALIDATED
pass_protection.rush_stuffed_rate_approx,pass_protection,process_style,pbp,lower_better,team,1999,descriptive,UNVALIDATED
pass_rush.sack_rate_generated,pass_rush,core_efficiency,pbp,higher_better,team,1999,candidate_signal,UNVALIDATED
pass_rush.qb_hit_rate_generated,pass_rush,core_efficiency,pbp,higher_better,team,2006,candidate_signal,UNVALIDATED
pass_rush.pfr_pressure_rate,pass_rush,core_efficiency,pfr_def,higher_better,team,2018,candidate_signal,UNVALIDATED
pfr_def.missed_tackle_pct,pfr_def,outcome_noise,pfr_def,lower_better,player,2018,descriptive,UNVALIDATED
pfr_def.yards_allowed_per_target,pfr_def,core_efficiency,pfr_def,lower_better,player,2018,descriptive,UNVALIDATED
pfr_pass.pressure_rate_faced,qb,process_style,pfr_pass,lower_better,player,2018,descriptive,UNVALIDATED
special_teams.fg_pct,special_teams,core_efficiency,pbp,higher_better,team,1999,descriptive,UNVALIDATED
special_teams.st_epa_per_play,special_teams,core_efficiency,pbp,higher_better,team,1999,descriptive,UNVALIDATED
