family,group,metric_a,metric_b,pearson,spearman,n_entity_seasons,seasons,note
qb,efficiency,dropback_success_rate,yards_per_attempt,0.7164830602337174,0.7433019271077105,314,2016-2024,descriptive overlap only; do NOT select/combine on this
team_defense,core_efficiency,success_rate,pass_epa_per_dropback,0.6827228120787746,0.6455477456405806,288,2016-2024,descriptive overlap only; do NOT select/combine on this
rb,efficiency,rush_epa_per_att,rush_success_rate,0.6727308725092886,0.7067346220803742,973,2016-2024,descriptive overlap only; do NOT select/combine on this
pass_protection,protection,sack_rate_allowed,qb_hit_rate_allowed,0.6694245854610664,0.6455668350553996,288,2016-2024,descriptive overlap only; do NOT select/combine on this
wr,efficiency,target_success_rate,yards_per_target,0.6690066567772899,0.6713087140414915,2471,2016-2024,descriptive overlap only; do NOT select/combine on this
team_offense,core_efficiency,epa_per_play,rush_epa_per_play,0.6464996376346015,0.6454402420939682,288,2016-2024,descriptive overlap only; do NOT select/combine on this
team_defense,core_efficiency,success_rate,rush_epa_per_play,0.6213751762253594,0.6237320609736005,288,2016-2024,descriptive overlap only; do NOT select/combine on this
team_offense,core_efficiency,rush_epa_per_play,early_down_epa_per_play,0.6166939203240562,0.6160284773880859,288,2016-2024,descriptive overlap only; do NOT select/combine on this
team_offense,core_efficiency,success_rate,rush_epa_per_play,0.6038578728221643,0.6061703016931307,288,2016-2024,descriptive overlap only; do NOT select/combine on this
pass_rush,rush,sack_rate_generated,qb_hit_rate_generated,0.602572892075371,0.570604210120203,288,2016-2024,descriptive overlap only; do NOT select/combine on this
rb,efficiency,rush_epa_per_att,yards_per_carry,0.5876149493806094,0.6128534283488759,973,2016-2024,descriptive overlap only; do NOT select/combine on this
team_defense,core_efficiency,epa_per_play,rush_epa_per_play,0.5822620508061864,0.5775587853505822,288,2016-2024,descriptive overlap only; do NOT select/combine on this
team_defense,core_efficiency,rush_epa_per_play,early_down_epa_per_play,0.570525157324,0.5672791354705441,288,2016-2024,descriptive overlap only; do NOT select/combine on this
team_offense,core_efficiency,pass_epa_per_dropback,rush_epa_per_play,0.4482002690426954,0.4370978664062469,288,2016-2024,descriptive overlap only; do NOT select/combine on this
wr,efficiency,target_success_rate,catch_rate,0.3661525271712767,0.316947841373199,2471,2016-2024,descriptive overlap only; do NOT select/combine on this
rb,efficiency,rush_success_rate,yards_per_carry,0.34080610446030984,0.4205061230504531,973,2016-2024,descriptive overlap only; do NOT select/combine on this
team_defense,core_efficiency,pass_epa_per_dropback,rush_epa_per_play,0.29620767444042884,0.28858272146735314,288,2016-2024,descriptive overlap only; do NOT select/combine on this
wr,efficiency,epa_per_target,catch_rate,0.25189545278166214,0.18139779088461885,2471,2016-2024,descriptive overlap only; do NOT select/combine on this
team_offense,outcome_noise,explosive_pass_rate,explosive_rush_rate,0.25064940929073193,0.2371558379449341,288,2016-2024,descriptive overlap only; do NOT select/combine on this
team_defense,outcome_noise,explosive_pass_rate,explosive_rush_rate,0.16033187209340138,0.1715324580334286,288,2016-2024,descriptive overlap only; do NOT select/combine on this
qb,outcome_noise,interception_rate,explosive_pass_rate,-0.1468009611745301,-0.14058341352047218,314,2016-2024,descriptive overlap only; do NOT select/combine on this
qb,outcome_noise,interception_rate,sack_rate,0.09593315687293279,0.12350331068712866,314,2016-2024,descriptive overlap only; do NOT select/combine on this
wr,efficiency,yards_per_target,catch_rate,0.08994452991739675,0.016579711151459838,2471,2016-2024,descriptive overlap only; do NOT select/combine on this
rb,outcome_noise,explosive_rush_rate,fumble_lost_rate,-0.0615198991998457,-0.04418101059063443,973,2016-2024,descriptive overlap only; do NOT select/combine on this
qb,outcome_noise,explosive_pass_rate,sack_rate,-0.04241049029537784,-0.09923805260082502,314,2016-2024,descriptive overlap only; do NOT select/combine on this
